Unique_ID,similarity_score
1,0.1842843441026087
2,0.18101901466756268
3,0.19664143618582344
4,0.17991744438493318
5,0.17867727191150368
6,0.17328959038788544
7,0.20202625814989522
8,0.1832476623096578
9,0.17901500892506939
10,0.17644028455317828
11,0.18428461212801348
12,0.19643601872362954
13,0.19382758444058074
14,0.1781665687575254
15,0.18335343877716642
16,0.1840070929053845
17,0.18441068658213453
18,0.20122362782838932
19,0.1839560631923234
20,0.18427190030322355
21,0.2178127306465772
22,0.18526663636363877
23,0.1903514600793635
24,0.18818703102910478
25,0.17964460310666402
26,0.18846643554516349
27,0.18129873622616727
28,0.1817269558432545
29,0.18754540478429557
30,0.1750938904661206
31,0.18924955174798247
32,0.17575811712944636
33,0.19257681861662404
34,0.1955624150605676
35,0.17988797197078785
36,0.17646329833918975
37,0.18993937212782872
38,0.19078096486220303
39,0.19161403225155854
40,0.18805662970533193
41,0.1786197490317241
42,0.19643418946256175
43,0.1909351263828749
44,0.19786052401011395
45,0.17583037968737875
46,0.17588038677181866
47,0.17935832821671602
48,0.18675566316588704
49,0.18419146258564778
50,0.19180666862061688
51,0.1937347471583252
52,0.204286677527103
53,0.18355866007241692
54,0.19009909711245015
55,0.1776506959420272
56,0.17277860383776733
57,0.19331374235954543
58,0.17111165477346554
59,0.1891692234935085
60,0.18590561272759698
61,0.18671713837171158
62,0.1908152707357396
63,0.21030282322609523
64,0.1884103293496117
65,0.19447188605533977
66,0.19762569968159865
67,0.17834136865703343
68,0.2018875988495022
69,0.17113549995044577
70,0.19280329542841923
71,0.1647090418019185
72,0.18444776021764583
73,0.18046934430752903
74,0.18705536852309199
75,0.16893358025962105
76,0.20148955802990395
77,0.18105368511390074
78,0.19351685824814033
79,0.19356187790860493
80,0.1897964103748742
81,0.18605332152463383
82,0.20459172293486866
83,0.17938819221953306
84,0.1834019585509231
85,0.17526275132833583
86,0.1693719979697635
87,0.17337551136394452
88,0.1833885676096115
89,0.20085154704553843
90,0.1782050415967085
91,0.18411970823760265
92,0.19530454381035708
93,0.18197051035103334
94,0.2175170897541586
95,0.1908291451738297
96,0.18459956902055885
97,0.19117383605076207
98,0.18296652466963642
99,0.18239305919977902
100,0.17561776464959322
101,0.19189322890044916
102,0.2033993119296037
103,0.17800461140183618
104,0.200449909450211
105,0.19340255535074824
106,0.17950699075391982
107,0.1711536067363019
108,0.21450379252273227
109,0.1813020831647642
110,0.20177284023541225
111,0.19524594570850431
112,0.18468609558593296
113,0.20547147765306822
114,0.19489155129267519
115,0.19304306287725995
116,0.18839291581998732
117,0.18006989264929665
118,0.17331409572570383
119,0.18503595892304522
120,0.1719307063530187
121,0.17804647505243681
122,0.229948437164025
123,0.18141592539165907
124,0.19987707780731967
125,0.18048596789119575
126,0.1749747443888962
127,0.18784425480387215
128,0.18205366684293206
129,0.17719885690793327
130,0.19162578993814455
131,0.17849287567457411
132,0.1969285738491494
133,0.18150318572289886
134,0.1829021065030052
135,0.18560934129071927
136,0.2014578961802387
137,0.20234801002595457
138,0.18819165524694917
139,0.19928924104534004
140,0.20512331100486814
141,0.19786172501169064
142,0.18747907599583039
143,0.18062111996209287
144,0.1845892867478694
145,0.18789650818645978
146,0.19453182213632203
147,0.19082496461347428
148,0.18969769019098986
149,0.18332823273711937
150,0.18010454703372192
151,0.19606350707170117
152,0.1787713679087936
153,0.17990830922476822
154,0.2064405096157076
155,0.1914359983352048
156,0.18873399567879728
157,0.19584498783535548
158,0.19295727235703974
159,0.17945566303798235
160,0.19118621285366952
161,0.20586120954641465
162,0.1974627969786525
163,0.20408920044233636
164,0.18350811051376
165,0.18421251874526634
166,0.18455019870016084
